customer_id,order_id,order_date,delivery_date,expected_delivery_date,delay_days,status,name,email,region,delayed,delivery_status
33,1001,2025-05-22,2025-05-25,2025-05-27,0,Delivered,Ishaan,ishaan@gmail.com,West-North,false,Delivered
35,1002,2025-05-18,2025-05-27,2025-05-23,4,In Transit,Kiara,kiara@gmail.com,North-East,true,Delivered
100,1003,2025-05-01,2025-05-05,2025-05-06,0,Delivered,Reyanshi,reyanshi@gmail.com,North-East,true,Delivered
21,1004,2025-05-24,2025-05-25,2025-05-29,0,Delivered,Reyansh,reyansh@gmail.com,Central-East,false,Delivered
100,1005,2025-05-07,2025-05-16,2025-05-12,4,Pending,Reyanshi,reyanshi@gmail.com,North-East,true,Delivered
18,1006,2025-05-17,2025-05-22,2025-05-22,0,Delivered,Ishaan,ishaan@gmail.com,West-North,true,Delivered
11,1007,2025-05-24,2025-05-26,2025-05-29,0,Delivered,Kiara,kiara@gmail.com,South-Central,false,Delivered
23,1008,2025-05-21,2025-05-31,2025-05-26,5,In Transit,Sai,sai@gmail.com,North-East,true,Delivered
83,1009,2025-05-03,2025-05-06,2025-05-08,0,Delivered,Vihaan,vihaan@gmail.com,North-East,false,Delivered
72,1010,2025-05-24,2025-05-26,2025-05-29,0,Delivered,sai,sai@gmail.com,Central-East,false,Delivered
40,1011,2025-05-27,2025-05-31,2025-06-01,0,Delivered,Saanvi,saanvi@gmail.com,Central-East,true,Delivered
28,1012,2025-05-25,2025-05-26,2025-05-30,0,Delivered,Kiara,kiara@gmail.com,South-Central,false,Delivered
29,1013,2025-05-19,2025-05-21,2025-05-24,0,Delivered,Saanvi,saanvi@gmail.com,North-East,false,Delivered
92,1014,2025-05-16,2025-05-17,2025-05-21,0,Delivered,Myra,myra@gmail.com,East-West,false,Delivered
89,1015,2025-05-27,2025-06-02,2025-06-01,1,Delivered,Aarav,aarav@gmail.com,South-Central,true,Delivered
91,1016,2025-05-06,2025-05-12,2025-05-11,1,Delivered,Navya,navya@gmail.com,East-West,true,Delivered
32,1017,2025-05-16,2025-05-18,2025-05-21,0,Delivered,Aadhya,aadhya@gmail.com,East-West,false,Delivered
9,1018,2025-05-15,2025-05-20,2025-05-20,0,Delivered,samyuktha,samyukatha@gmail.com,East,true,Delivered
43,1019,2025-05-17,2025-05-27,2025-05-22,5,Pending,Ira,ira@gmail.com,South-Central,true,Delivered
89,1020,2025-05-15,2025-05-22,2025-05-20,2,Delivered,Aarav,aarav@gmail.com,South-Central,true,Delivered
27,1021,2025-05-07,2025-05-15,2025-05-12,3,In Transit,Ira,ira@gmail.com,North-East,true,Delivered
82,1022,2025-05-13,2025-05-14,2025-05-18,0,Delivered,Aditya,aditya@gmail.com,Central-East,false,Delivered
77,1023,2025-05-27,2025-05-29,2025-06-01,0,Delivered,Anaya,anaya@gmail.com,South-Central,false,Delivered
17,1024,2025-05-17,2025-05-20,2025-05-22,0,Delivered,Anika,anika@gmail.com,West-North,false,Delivered
30,1025,2025-05-11,2025-05-18,2025-05-16,2,Delivered,Diya,diya@gmail.com,West-North,true,Delivered
69,1026,2025-05-08,2025-05-10,2025-05-13,0,Delivered,Diya,diya@gmail.com,Central-East,false,Delivered
